Région,Nature,Type,Texte annonce,Prix,Modifiée,Prix_Catégorie,Somme_Prix,Moyenne_Prix,Type_general,Nombre_de_chambres,Nombre_de_salle_de_bain,surface
El Aouina,Vente,App. 3 pièc,Apprt s2 à  ain zagh,240000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,3.0,,150
Soliman,Vente,Maisons,Villa de haute standing,140000.0,2024-04-12,Bas,140000.0,140000.0,Maison,3.0,,150
El Aouina,Vente,App. 2 pièc,Bon investissement s plu,185000.0,2024-04-12,Bas,14043620.0,438863.125,Appartement,2.0,,150
Rades,Vente,Maisons,Maison rades,200000.0,2024-04-12,Bas,480000.0,240000.0,Maison,3.0,,150
El Menzah 5,Vente,Maisons,Villa spacieuse sur,1500000.0,2024-04-12,Haut,6950000.0,1158333.3333333333,Villa,5.0,,300
El Menzah 5,Vente,Duplex,Triplex rénové luxe,650000.0,2024-04-12,Moyen-Haut,6950000.0,1158333.3333333333,Autre,4.0,,300
Gammart,Vente,App. 3 pièc,Appartement de type s3,500000.0,2024-04-12,Moyen-Haut,7130000.0,1188333.3333333333,Appartement,3.0,,150
Hammamet,Vente,Maisons,Villa lella baya,1380000.0,2024-04-12,Haut,54225000.0,1869827.5862068965,Villa,5.0,,300
El Menzah 7,Vente,App. 3 pièc,S2 menzah 7 245 md,245000.0,2024-04-12,Moyen-Bas,457000.0,228500.0,Appartement,3.0,,150
Cite Ennasr 2,Vente,App. 3 pièc,Appartement  maria  s3,400000.0,2024-04-12,Moyen-Haut,18235000.0,2605000.0,Appartement,3.0,,150
Borj Cedria,Vente,Surfaces,Terrain a borj cedria,275000.0,2024-04-12,Moyen-Bas,1525000.0,381250.0,Surface,3.0,,150
Rades,Vente,App. 2 pièc,Appartement s2 hst à rad,280000.0,2024-04-12,Moyen-Bas,480000.0,240000.0,Appartement,2.0,,150
Bab Bhar,Vente,App. 5 pièc,Une bonne occasion a,240000.0,2024-04-12,Moyen-Bas,490000.0,245000.0,Appartement,5.0,,150
El Aouina,Vente,App. 2 pièc,Apprt s1 à citee wahat,260000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,2.0,,150
El Aouina,Vente,App. 3 pièc,Appt s s plus 2 à réside,285000.0,2024-04-12,Moyen-Bas,14043620.0,438863.125,Appartement,3.0,,150
El Mourouj,Vente,App. 3 pièc,Appartement mourouj 6 s2,230000.0,2024-04-12,Bas,4922000.0,273444.44444444444,Appartement,3.0,,150
Cite Ennour Jaa,Vente,App. 3 pièc,S2 rdc nour jaafer,127000.0,2024-04-12,Bas,277000.0,138500.0,Appartement,3.0,,150
Cite Ennasr 1,Vente,Duplex,Duplex a 570 md à ennasr,560000.0,2024-04-12,Moyen-Haut,2385000.0,397500.0,Autre,4.0,,300
Cite Jardins,Vente,App. 5 pièc,Appartement s plus 4,385000.0,2024-04-12,Moyen-Bas,764000.0,382000.0,Appartement,5.0,,150
Raoued,Vente,Autre,Réf 82v immeuble r3 avec dupl,1500000.0,2024-04-12,Haut,1500000.0,1500000.0,Autre,5.0,,300
Ariana,Vente,App. 1 pièc,Terain a arriana,561000.0,2024-04-12,Moyen-Haut,1603000.0,400750.0,Appartement,1.0,,300
Jardins d'el Me,Vente,App. 4 pièc,Un magnifique s3 à jardi,420000.0,2024-04-12,Moyen-Haut,600000.0,300000.0,Appartement,4.0,,150
Ain Zaghouan,Vente,App. 5 pièc,Appt s4 de 202m2 ain zag,620000.0,2024-04-12,Moyen-Haut,4036000.0,504500.0,Appartement,5.0,,300
La Soukra,Vente,Duplex,Duplex avec piscine à la,950000.0,2024-04-12,Haut,16052000.0,697913.0434782609,Autre,5.0,,300
El Mourouj,Vente,App. 3 pièc,Offre appartement s2 à e,95000.0,2024-04-12,Bas,4922000.0,273444.44444444444,Appartement,3.0,,50
Gammart,Vente,App. 3 pièc,Villa s3 à gammarth zvv0,1100000.0,2024-04-12,Haut,7130000.0,1188333.3333333333,Appartement,3.0,,300
El Menzah 9,Vente,App. 4 pièc,S3 menzah 9 638 md,638000.0,2024-04-12,Moyen-Haut,6768000.0,846000.0,Appartement,4.0,,300
El Mourouj,Vente,App. 3 pièc,App haut standing,180000.0,2024-04-12,Bas,4922000.0,273444.44444444444,Appartement,3.0,,150
Hammam Sousse,Vente,Maisons,Maison pour famille,160000.0,2024-04-12,Bas,1155000.0,231000.0,Maison,3.0,,150
El Kantaoui,Vente,Maisons,Maison à la rentre dakou,8200000.0,2024-04-12,Haut,10400000.0,5200000.0,Villa,5.0,,300
Mutuelle Ville,Vente,Maisons,Villa à rénover au mutue,2000000.0,2024-04-12,Haut,3950000.0,1975000.0,Villa,5.0,,300
Berge Du Lac,Vente,App. 3 pièc,Appartement  emeraude  s,100000.0,2024-04-12,Bas,1950000.0,975000.0,Appartement,3.0,,150
