Région,Nature,Superficie,Nb_chambres,Texte_annonce,Prix,Modifiée
Tunis,Type de transactionÀ Vendre,Superficie96,Chambres3,"📌Superbe Duplex se trouvant sur un terrain de 96m2 et avec une bâtie de 186m2 à Vendre à Jardin d'El Menzah.
composé de :
*Rez-de-chaussée: Un salon, une cuisine et une petite Terrasse
*1ér étage: 3 chambres et une salle de bain
*2éme étage: une chambre avec Terrasse
*Garage
💰Prix: 350MDT💰
☎️Tél : Afficher le numéro /📞📞📞 Afficher le numéro",N/A,10 hours ago
Nabeul,Type de transactionÀ Vendre,Superficie300,Salles de bains1,"A vendre maison inachevée à kelibia située près de Steg de superficie 300 m² avec une façade de 18 mètre sur une rue de 8 mètre.
Maison de surface bâtie 170 m² composée de trois chambre à coucher, salon, cuisine et deux salles d’eau.
Maison avec permis de construit et équipée d’un puits. 
Prix : 250 000 DT.
Référence : VT918
TEL : Afficher le numéro / Afficher le numéro / Afficher le numéro
WhatsApp : Afficher le numéro / Afficher le numéro",N/A,10 hours ago
Ariana,Type de transactionÀ Vendre,Superficie425,Salles de bains2,"L’agence modern immo met en vente une villa de 425m2 de terrain repartie sur deux niveaux indépendants.
Le rez de chaussée est composé d’un S+3 de 126m2 et un studio de 43m2.
L’étage contient un S+3 de 126m2.
Pour plus d’informations veuillez nous contacter: Afficher le numéro / Afficher le numéro",N/A,11 hours ago
Ariana,Type de transactionÀ Vendre,Superficie402,Salles de bains5,"L'agence modern immo met à la vente une villa située dans une zone sécurisée et agréable.
Trois niveaux indépendants
Pour plus d'informations veuillez nous contacter : Afficher le numéro",N/A,11 hours ago
Ariana,Type de transactionÀ Vendre,Superficie200,Salles de bains3,"L'agence modern immo met à la vente un duplex S +3 situé dans une résidence R+2 sécurisée et agréable proche de toutes les commodités.
Il est composé d'un grand salon ouvre sur une terrasse, une cuisine avec séchoir, salle d'eau, salle de bain, trois chambres à coucher dont deux avec balcon.
Il est équipé d'un chauffage central et d'une climatisation.
Une place de parking est à disposition.
Pour plus d'informations veuillez nous contacter : Afficher le numéro",N/A,11 hours ago
Ariana,Type de transactionÀ Vendre,Superficie220,Salles de bains1,"L’agence Modern Immo vous offre une belle opportunité de vente d’une villa jumelée S+4 située dans un quartier résidentiel et sécurisé.
Elle est composée au rdc d’un salon, un séjour, une cuisine qui ouvre sur un séchoir et une salle d’eau.
À l’étage on trouve trois chambres à coucher chacune avec un placard et un balcon et une salle de bain commune.
Au deuxième niveau un accès à une belle terrasse sur le toit.
Elle est équipée d’un chauffage central.
Pour plus d’informations veuillez nous contacter: Afficher le numéro / Afficher le numéro",N/A,11 hours ago
Ariana,Type de transactionÀ Vendre,Superficie300,Salles de bains3,"Réf:  44V  
A vendre villa s+5 avec piscine 
  🚘La Soukra Chotrana 3

➡️Superficie Bâtie 250 m² 
➡️  Suprfice  terrain de 300 m ² 
✅️ salon 
✅️5 chambres à coucher  
✅️ cuisine semi-équipée
✅️ 3 salles de bain et une salle d’eau.
✅️Chauffage central, camera de surveillance et alarme avec une piscine de 5x3 , la climatisation est pré installée.

        💰Prix 1 000 000 MD 💰

     ☎️ Afficher le numéro",N/A,11 hours ago
Nabeul,Type de transactionÀ Vendre,Superficie500,Salles de bains3,"À vendre chez Green Immobilier une demeure bien située à Hammamet zone Menchar

À 5 minutes à de la plage

Elle s’étend sur un terrain de 500m² avec une superficie habitable de 235 m².

elle offre:

-un salon salle a manger

-une cuisine bien aménagée

-une suite parentale composée, une chambre, une salle de bain, dressing

-Deux chambres a couchers

-un jardin

-piscine

La villa est équipée par un chauffage central et climatisation

Prix demandé : 790.000 MDT

contact : Afficher le numéro13

vous trouverez tous les détails sur notre

cite web officiel :.www.greenimmobiliere.com

mail: [email protected]

votre satisfaction est notre priorité",N/A,11 hours ago
Nabeul,Type de transactionÀ Vendre,Superficie400,Salles de bains4,"À vendre chez Green Immobilière, une demeure de prestige bien située à Hammamet Nord 

Elle s’étend sur un terrain de 400 m² avec une superficie habitable de 300 m². 

La villa offre:

-un salon salle a manger 

-Une cuisine haut de gamme équipée est minutieusement agencée, offrant des espaces de rangement intelligents et ergonomiques

-Une suite parentales composées de : chambre, salle de bain, dressing 

-3 salles de bains

-Un grand jardin autour de la maison 

-Une piscine en ""L""

La villa est équipée d'un chauffage central et un système de climatisation prés installer 

contact : Afficher le numéro13

Prix demandé : 1.030.000 MDT

vous trouverez tous les détails sur notre

cite web officiel :.www.greenimmobiliere.com

mail: [email protected]

votre satisfaction est notre priorité",N/A,11 hours ago
Nabeul,Type de transactionÀ Vendre,Superficie315,Salles de bains3,"À vendre chez Green Immobilier une demeure bien située à Hammamet 

Elle s’étend sur un terrain de 115 m² avec une superficie habitable de 315 m².

elle offre:

-Trois salon salle a manger

-Trois cuisine bien aménagée

-Six chambres

Prix demandé : 370 000 MDT

contact : Afficher le numéro13

vous trouverez tous les détails sur notre

cite web officiel :.www.greenimmobiliere.com

mail: [email protected]",N/A,11 hours ago
Nabeul,Type de transactionÀ Vendre,Superficie490,Salles de bains4,"À vendre chez Green Immobilier une demeure bien située à Hammamet à 800 metres de la plage

Elle s’étend sur un terrain de 490 m² avec une superficie habitable de 350 m².

elle offre:

-un salon salle a manger

-une cuisine bien aménagée

-Quatre suites composées, une chambre, une salle de bain, dressing

-un jardin

-piscine

-Terrasse

-place de parking

La villa est équipée par un chauffage central et climatisation installer 

Prix demandé : 1.250.000 MDT

vous trouverez tous les détails sur notre

cite web officiel :.www.greenimmobiliere.com

mail: [email protected]

contact : Afficher le numéro13

votre satisfaction est notre priorité",N/A,11 hours ago
Tunis,Type de transactionÀ Vendre,Superficie260,Salles de bains3,"A vendre une maison sur trois niveau bâtie sur terrain 100m2 au le kram ouest
Rdc se compose d'un appartement s+2
1 ére étage appartement s+2
2 éme étage appartement s+1 avec terrasse
prix : 320 mdt
tél
 Afficher le numéro / Afficher le numéro.
watsap
 Afficher le numéro",N/A,11 hours ago
Tunis,Type de transactionÀ Vendre,Superficie60,Salles de bains4,"On vous propose une Bonne affaire Pour investissement ou habitation a  vendre une petite maison titre bleu R+ 3 recette de loyer 2000dt/moi ce trouve à Bhar Lazreg 1 en face l'école BOUEBDELI la Marsa .le terrain a une surface 60m² la maison ce trouve dans une angle donc le premier Dalle avec les portes a faux devient 88m² ,surface couvert des 3 étages 220m² une bonne recette de loyer suivi par les contrats . ce trouve a 200m de la nouvelle école BOUEBDELI et le grand surface carrefour en passant par TANIT CENTRE vert Bhar lazreg la Marsa , ce compose comme suit en rée de chaussé un locale commerciale de en 1er et 2em étage un duplexe S+2 de 120m² couvert  équiper par le gaz de ville est chauffage centrale  2 chambres à coucher avec dressing est une sale de bains une grande salon + 2em sale d'eau avec douche en 3em étage un studio70m² S+1 meubler deux compteur (Gaz, Steg Eau ) emplacement trop demandé 5mn de la marsa ville  construire en 2014 (2 compteurs eau 2 steg 2 gaz de vile ) prix de vente proposé et de 270000dt L'égerment négociable pour plus D'info contacter Afficher le numéro  visite sur RDV",N/A,11 hours ago
Nabeul,Type de transactionÀ Vendre,Superficie280,Salles de bains3,"📢 #A_VENDRE 📢
Une villa en S+4 à cité el wafa AFH2 🏠
✅Jardin
✅Suite parentale
✅Quartes  Chambres
⏰ Contactez nous vite pour le visiter",N/A,11 hours ago
Nabeul,Type de transactionÀ Vendre,Superficie700,Salles de bains5,"A vendre à  la zone touristique HAMMAMET NORD une grande villa 
Tél whatsapp : Afficher le numéro",N/A,12 hours ago
Tunis,Type de transactionÀ Vendre,Superficie420,Salles de bains3,"Nous mettons à votre disposition un spacieux rez-de-chaussée de villa situé au Bardo.
Ce bien d'exception sur un terrain de 420 mètres carrés, avec une surface bâtie de 400 mètres carrés.
Au Rez-de-chaussée :
✅ Un petit jardin ombragé
✅ Une Véranda spacieuse
✅ Un salon
✅ Une salle à manger
✅ 4 chambres à coucher
✅ Une cuisine
✅ Une salle de bain
Au Rez de jardin :
✅ Une grande salle de séjour avec rangements
✅ 2 grandes chambres
✅ Un cellier
✅ Une grande cour de plus de 100 mètres carrés
💥 Cette superbe propriété offre également un studio spacieux comprenant : 
✅ 2 chambres
✅ Une cuisine
✅ Une salle de bain avec douche. De plus, vous bénéficiez d'un garage pouvant accueillir deux voitures, doté d'une porte basculante télécommandée.

Pour plus d'informations ou pour planifier une visite, veuillez nous contacter !",N/A,12 hours ago
Ariana,Type de transactionÀ Vendre,Superficie420,Salles de bains3,"L’agence immobilière Good Life vous propose à la vente une élégante villa située à Ennasr2, d’une superficie de 420 m2 de terrain et 316 m2 bâtis.

Cette villa se compose, au rez-de-chaussée, d’un grand salon, d’une salle d’eau et d’une cuisine bien équipée avec coin de repas entièrement rénovée en 2016.

À l’étage, on trouve un Hall avec balcon, une suite parentale avec douche et balcon couvert, 3 chambres avec dressing dont une avec un balcon, ainsi qu’une salle de bain avec baignoire.

Le sous-sol, doté d’une entrée indépendante, comprend un grand salon, une cuisine avec coin de repas, deux chambres, un cellier, une salle de douche et une chambre de gardien.

A l’extérieur, un petit Jardin sur deux cotés et une place de parking pour une voiture.

Parmi les équipements, la villa dispose du chauffage central, de 8 climatiseurs, d’un système d’alarme et de caméras de surveillance.

Prix demandé est de 1200 mille dinars tunisiens.

Pour plus d’information veuillez contacter notre conseiller en immobilier Mr Slim au Afficher le numéro (appel ou WhatsApp).",N/A,12 hours ago
Ariana,Type de transactionÀ Vendre,Superficie480,Salles de bains1,"Votre agence immobilière  Bestimmo vous propose une villa inachevé sur un terrain de 480 m 
👉🏢🏘🏘 situé a borj touil dans un nouveaux quartier résidentielle 
🛑Un emplacement calme avec un belle vue sur les hauteurs de borj touil 
Un plan architectural disponible avec un rdc et un étage ,espace extérieur avec jardin et piscine 
👌👉👉 Compteur steg disponible 

🎖🏅🥇 prix 220.000 dt 
🤝Pour visiter ou pour mieux se renseigner veuillez nous contacter sur le GSM Afficher le numéro 🤝👍
             📞Watsup Afficher le numéro",N/A,12 hours ago
Ariana,Type de transactionÀ Vendre,Superficie575,Salles de bains4,"⚜️Découvrez cette somptueuse villa de rêve, jamais habitée, offrant un standing exceptionnel. Répartie sur trois niveaux, elle combine élégance et modernité, offrant des espaces généreux et lumineux. 

⚜️Chaque étage a été pensé pour répondre aux exigences de confort et de raffinement, avec des finitions haut de gamme. 

⚜️Un véritable bijou architectural, prêt à accueillir ses futurs propriétaires.

N'hésitez pas à nous contactez sur le ☎️☎️☎️☎️ Afficher le numéro☎️ pour plus de renseignements",N/A,12 hours ago
Tunis,Type de transactionÀ Vendre,Superficie350,Salles de bains3,"🔥 À VENDRE : Villa semi-jumelée à El Menzah 9C
907-B IMMO, expert en immobilier, vous propose cette magnifique villa semi-jumelée de 350 m² à vendre, située à El Menzah 9C, dans un quartier résidentiel calme et proche de toutes commodités.
Caractéristiques : ✅ Espaces de vie : Salon, salle à manger, séjour chaleureux
✅ Cuisine : Entièrement équipée
✅ Chambres : 3 chambres spacieuses
✅ Salles d'eau : Salle d’eau pour invités et salle de bain
✅ Extérieur : Grande terrasse
✅ Garage : Espace de stationnement privé
✅ Piscinable : Terrain pouvant accueillir une piscine
✅ Studio indépendant : Situé au rez-de-jardin, idéal pour un espace privé ou locatif
📍 Titre foncier en règle
Pour plus d'informations, contactez votre conseiller immobilier au 📞 Afficher le numéro",N/A,12 hours ago
Tunis,Type de transactionÀ Vendre,Superficie520,Salles de bains4,"A vendre à Menzah 9B dans un qaurtier résidentiel, une villa de 400 m² édifiée sur un terrain de 520 m².
La villa est composée de deux niveaux séparés avec deux entrées de voitures.
Beaucoup de potentiel.
Titre individuel
Pour visite, contactez Ramzi Trabelsi au Afficher le numéro, RE/MAX Welcome agence immobilière à La soukra.",N/A,12 hours ago
Tunis,Type de transactionÀ Vendre,Superficie400,Salles de bains4,"L'agence ""KROUT IMMO"" vous propose une merveilleuse villa de haut standing à Manar 1 pour la vente, cette dernière se compose de deux étages : 



1er étage : 

Un grand salon

Quatre chambres spacieuses

Une salle à manger 

Une cuisine spatieuse avec un accès au séchoir. 



2ème étage : 

Un grand salon

Quatre chambres spacieuses

Cuisine





*) Autres caractéristiques : 



Une belle terrasse

Un joli jardin aménagé

Un garage avec une porte automatique

Système d'alarme

Présence de panneaux photovoltaïques

Climatisation 

Chauffage central 

Quartier calme et proche de toutes les commodités

Superficie du terrain : 400 m²

Superficie bâtie : 390 m²



Pour toute information complémentaire, veuillez contacter :



 Afficher le numéro
 Afficher le numéro



NB : Frais de visite 30dt ( vous bénéficierez de deux autres visites gratuites)",N/A,12 hours ago
Sousse,Type de transactionÀ Vendre,Superficie365,Salles de bains4,"A VENDRE: 🏠Maison de deux étages
Adem immobilière vous propose une maison érigée sur deux niveaux .
✅ Titre Bleu: Disponible
✅ Superficie : terrain 365 m² , superficie couverte: 180 m² pour chaque étage
✅ Type: S+3 dans chaque étage
✅ Abri pour 3 voitures
✅ Emplacement : Sidi abdelhamid prés de tous commodités
Pour toutes informations et conseils nécessaires :
𝐈𝐍𝐅𝐎𝐋𝐈𝐍𝐄 Afficher le numéro / Afficher le numéro
WhatsApp : Afficher le numéro",N/A,12 hours ago
Ariana,Type de transactionÀ Vendre,Superficie227,Salles de bains2,"Agence Darcom-Tunisia la soukra met à la vente une villa Jumelée  S+4 en cours de construction ,superficie de terrain 227 m² titré , dotée d’un bon emplacement à La Soukra.
La Villa composée sur deux niveaux :
Le RDC est composé d’un salon ,séjour ouvrant sur un jardin et piscine 5.5 m² x 2.70 m² , une cuisine aménagée et équipée, une salle d’eau d’invités et une chambre service.
L'étage comprend une suite parentale avec dressings et salle de douche ainsi que deux chambres à coucher chacune aménagée par un dressing et qui se partagent une salle de bain.
Chauffage central et climatisation Split installés 
Un abris disponible pour deux voitures.

N’hésitez pas à contacter nos conseillers pour un rendez-vous.

 Afficher le numéro07.707                                                  

[email protected]",N/A,12 hours ago
Ben Arous,Type de transactionÀ Vendre,Superficie210,Salles de bains3,"À vendre : Superbe duplex situé à Nouvelle Médina, avec une superficie de 210 m². Ce bien de style américain se compose d’un duplex S+3 comprenant un salon spacieux, une cuisine ouverte, une salle d’eau, trois chambres à coucher, une salle de bain, ainsi qu’une petite kitchenette. Le tout est complété par une grande terrasse avec potentiel d’aménagement.
Le bien inclut également un studio indépendant S+1 et un garage.
Opportunité idéale pour résidence principale ou investissement.
Pour plus d’informations, contactez La Coquette Capitale au :
 Afficher le numéro
5811188
 Afficher le numéro",N/A,13 hours ago
Ariana,Type de transactionÀ Vendre,Superficie400,Salles de bains1,"FIRST_HOME_REAL_ESTATE ( #agence_immobilière_Agrée ).
IB 4293 : À vendre villa à Borj Louzir Soukra sur un terrain de 400 m2.
Constituée de deux étages indépendants dont la superficie de chaque niveaux est de 160 m2 couvert.
✅le RDC se compose d'un grand Salon ( peut contenir salon et salle à manger) + séjour + 2 chambres à coucher + cuisine + salle de bain, chauffage centrale + un climatiseur
A l’extérieur : un jardin, à l’arrière une toilette et une kitchenette
✅L’étage se compose d'un grand Salon/salle à manger+ 2 chambres à coucher+ suite parentale contenant sa propre douche et toilette + une cuisine + salle de bain.
✅La villa est équipée de Chauffage centrale + 2 climatiseurs
A l’étage: buanderie aménagée contenant une kitchenette et des placards
Abri de voiture qui peut même contenir 3 voitures.
Chaque étage est équipé par une alarme + 5 caméras de surveillance.
✅Pour plus d'informations veuillez contacter par téléphone le  : Afficher le numéro.
WhatsApp le : Afficher le numéro.",N/A,13 hours ago
Bizerte,Type de transactionÀ Vendre,Superficie270,Salles de bains0,"Votre Agence Immobilière SAIEK et Belhouane Vous Propose en Vente Rez De Chaussée De Villa à Cité Ain Mariem Bizerte .
Composée d’un Salon, 2 Chambres à Coucher, Suite Parentale, Cuisine équipée, Salle d’eau, Salle De Bain, Balcon, Terrasse, Abri De Voiture.
pour Plus D’information Contactez-Nous Sur Le Afficher le numéro / Afficher le numéro / Afficher le numéro / WhatsApp Afficher le numéro.",N/A,13 hours ago
Ariana,Type de transactionÀ Vendre,Superficie466,Salles de bains1,"FIRST_HOME_REAL_ESTATE ( #agence_immobilière_Agrée ).
IB 4296 : À vendre une maison plain pied à Borj Louzir SidI Sofian sur un terrain de 466 m².
-Une maison indépendante non jumelée avec garage/abris de voiture et un jardin qui fais le tour de la maison .
✅Se compose d'un grand Salon ( peut contenir salon et salle à manger) + séjour .
- une cuisine avec terrasse .
-La partie nuit contient 3 grandes pièces avec salle de  bain et salle d'eau invitée.
✅-Papier en règle .
✅-Prix de vente: 480 000 DT
✅Pour plus d'informations veuillez contacter par téléphone le  : Afficher le numéro.
WhatsApp le : Afficher le numéro.",N/A,13 hours ago
